,ID,Name,StatusClosed,ReviewCount,Rating,Distance,Latitude,Longitude,location.zip_code,Address
322,CkxJbExcTyefb-5DamkHbg,Tillamook Station,False,2,4.5,451.44527309575784,45.5380662,-122.6730848,97227,"['655 N Tillamook', 'Portland, OR 97227']"
323,5ZuMor_a5C3j8-Eq8IsxEA,Portland Institute For Contemporary Art,False,1,5.0,974.8641819011634,45.5368,-122.6661,97212,"['15 NE Hancock St', 'Portland, OR 97212']"
332,gVNGZVF0_1fhDWMStwUikg,Atrium Gallery & Print Studio,False,2,3.0,91.39324954955691,45.521851927042,-122.67168559134,97204,"['115 SW Ash St', 'Portland, OR 97204']"
335,p9e3hasCinWXHyR6UzFF5g,Cultural Elements,False,1,4.0,185.24022207657708,45.522953,-122.671676,97209,"['108 W Burnside St', 'Portland, OR 97209']"
337,ABbpMu5QjqKlDW8YO_7e6g,Photographic Image Gallery,False,1,3.0,122.987624912655,45.520515,-122.671714,97204,"['79 SW Oak St', 'Portland, OR 97204']"
343,rPFvl7W-B1LHh7zTKtJ65w,Goldsmith Blocks,False,1,4.0,294.5882771997236,45.5232942849398,-122.67534814775,97209,"['20 NW 5th Ave', 'Portland, OR 97209']"
367,8YrnUd-xrBUxuEKfyxUZmw,Littman + White Galleries,False,2,4.0,913.7891153428759,45.51204714970018,-122.68446511072332,97201,"['1825 SW Broadway St', 'Ste 250', 'Portland, OR 97201']"
371,Q5hXgqI7n4oS-KFB6WIJgg,Garden Gate,False,1,4.0,1173.418882754211,45.517047,-122.6835179,97205,"['1120 SW 10th Ave', 'Portland, OR 97205']"
379,0RU--5s9dXo89-VIf_dEww,Fourteen 30 Contemporary,False,2,3.0,971.5501631166303,45.515619,-122.690457,97201,"['1501 SW Market St', 'Portland, OR 97201']"
418,hMotEVW8ycX2tzvfXHmglg,Oregonized,False,1,4.0,1129.9341878601306,45.53248878774071,-122.65450123642746,97232,"['2201 Lloyd Ctr', 'Portland, OR 97232']"
465,1ZSyggKCcQFBv0chFGw42w,Alberta Street Gallery,False,13,5.0,268.1061344291212,45.5593453,-122.646129,97211,"['1829 NE Alberta St', 'Unit B', 'Portland, OR 97211']"
466,UfIu4tcYSGWlAWTexVYAUw,Nucleus Portland,False,17,4.5,552.4594058938711,45.55901028194724,-122.6356147490711,97211,"['2916 NE Alberta St', 'Unit B', 'Portland, OR 97211']"
467,EYu5xK1ru8b0PX06WjVEGg,Antler Gallery,False,7,4.5,355.15900877559744,45.5590000353737,-122.647271481516,97211,"['2728 NE Alberta St', 'Portland, OR 97211']"
