,Name,ReviewCount,Rating,location.zip_code,empty_slots,free_bikes,Latitude,Longitude,Distance
184,NE Dekum at Oneonta St,,,,0.0,14.0,0.0,0.0,
185,NE Shaver west of 122nd Ave (Parkrose HS),,,,4.0,4.0,0.0,0.0,
186,NE Killingsworth at 6th Ave,,,,2.0,0.0,0.0,0.0,
187,NE Alberta at 18th,,,,7.0,2.0,0.0,0.0,
188,NE Halsey at 102nd,,,,11.0,0.0,0.0,0.0,
189,N Interstate Ave at Lombard,,,,4.0,1.0,0.0,0.0,
190,N Fremont at Interstate Ave,,,,6.0,0.0,0.0,0.0,
191,SE Foster at 54th Ave,,,,2.0,0.0,0.0,0.0,
192,SE 96th Ave at Main,,,,4.0,0.0,0.0,0.0,
193,NE 99th at Multnomah St,,,,8.0,0.0,0.0,0.0,
194,Cully Park,,,,0.0,7.0,0.0,0.0,
195,SE Stark at 79th Ave,,,,6.0,0.0,0.0,0.0,
196,N Denver at Interstate Ave,,,,3.0,3.0,0.0,0.0,
197,NE Ainsworth at 42nd Ave,,,,3.0,1.0,0.0,0.0,
198,N Willamette Blvd at Portsmouth,,,,4.0,1.0,0.0,0.0,
199,NE 41st at Sandy Blvd (Hollywood Theatre),,,,12.0,0.0,0.0,0.0,
200,Kerr Bikes/Adaptive BIKETOWN,,,,5.0,1.0,0.0,0.0,
201,NE Prescott at 72nd Ave,,,,0.0,6.0,0.0,0.0,
202,N Willamette at Buchanan,,,,7.0,0.0,0.0,0.0,
203,SW 5th at Main,,,,12.0,2.0,0.0,0.0,
204,NE Fremont at 24th,,,,5.0,0.0,0.0,0.0,
205,Epler Hall,,,,3.0,0.0,0.0,0.0,
206,PSU SRTC,,,,2.0,2.0,0.0,0.0,
207,OHSU Marquam Hill,,,,9.0,0.0,0.0,0.0,
208,NE Sumner at MLK,,,,3.0,0.0,0.0,0.0,
209,SE 64th at Lincoln St,,,,1.0,0.0,0.0,0.0,
210,SE Holgate at 82nd Ave,,,,5.0,0.0,0.0,0.0,
211,NW Naito at Couch,,,,3.0,2.0,0.0,0.0,
212,N Willamette Blvd at Harvard St,,,,3.0,0.0,0.0,0.0,
213,NE Knott at 33rd,,,,3.0,2.0,0.0,0.0,
214,N Rosa Parks at Greeley,,,,5.0,0.0,0.0,0.0,
215,E Burnside at 102nd,,,,5.0,4.0,0.0,0.0,
216,NE 68th at Sandy,,,,5.0,4.0,0.0,0.0,
217,NE Alberta at 31st Ave,,,,0.0,4.0,0.0,0.0,
218,NW Front at 17th,,,,12.0,3.0,0.0,0.0,
219,Millar Library,,,,2.0,2.0,0.0,0.0,
220,N Willis Blvd at N Courtenay Ave,,,,5.0,1.0,0.0,0.0,
221,NE 122nd Ave at Glisan St,,,,6.0,0.0,0.0,0.0,
222,SE Foster at 72nd,,,,9.0,3.0,0.0,0.0,
223,N Lombard at N Fortune,,,,9.0,0.0,0.0,0.0,
224,NE Siskiyou at 81st Ave,,,,8.0,1.0,0.0,0.0,
225,N Lombard at Burlington,,,,6.0,2.0,0.0,0.0,
226,NE Sandy at 96th,,,,8.0,0.0,0.0,0.0,
227,SE 34th at Hawthorne,,,,6.0,4.0,0.0,0.0,
228,Doernbecher Children's Hospital,,,,6.0,0.0,0.0,0.0,
229,SW Broadway at Smith Memorial Student Union,,,,17.0,6.0,0.0,0.0,
230,N Trenton at N Newman,,,,8.0,1.0,0.0,0.0,
231,NW 20th Pl (Fred Meyer),,,,15.0,1.0,0.0,0.0,
232,N Pittsburg at N Crawford,,,,9.0,0.0,0.0,0.0,
233,SE 122nd at Burnside,,,,4.0,0.0,0.0,0.0,
234,NE Alberta at 12th,,,,5.0,0.0,0.0,0.0,
235,NE Failing St at 79th Ave,,,,7.0,0.0,0.0,0.0,
236,NW Flanders at 14th Ave,,,,9.0,0.0,0.0,0.0,
237,NW 18th at Flanders,,,,16.0,0.0,0.0,0.0,
238,N Concord Ave at Killingsworth St,,,,5.0,0.0,0.0,0.0,
239,NW Naito at Ironside,,,,3.0,6.0,0.0,0.0,
240,NE 78th at Glisan,,,,3.0,3.0,0.0,0.0,
241,SE Division at 82nd,,,,6.0,1.0,0.0,0.0,
242,N Midway at Fessenden St,,,,5.0,4.0,0.0,0.0,
243,SE Stark at 102nd,,,,6.0,0.0,0.0,0.0,
244,NE 82nd at Jonesmore,,,,7.0,0.0,0.0,0.0,
245,N Morris at Vancouver,,,,5.0,3.0,0.0,0.0,
246,NE Halsey St at 106th,,,,12.0,1.0,0.0,0.0,
