,Name,ReviewCount,Rating,location.zip_code,empty_slots,free_bikes,Latitude,Longitude,Distance
72,N Russell at Interstate,,4.0,,10.0,2.0,0.0,0.0,652.0
73,SW 2nd at Pine,,4.0,,13.0,5.0,0.0,0.0,652.0
74,SW Harvey Milk at Burnside,,4.0,,14.0,1.0,0.0,0.0,652.0
75,SW River at Montgomery,,4.0,,12.0,15.0,0.0,0.0,652.0
76,SW Market at Keller Fountain Park,,4.0,,8.0,4.0,0.0,0.0,652.0
77,SE 37th at Division,,4.0,,3.0,0.0,0.0,0.0,652.0
78,NE 48th at Fremont,,4.0,,11.0,1.0,0.0,0.0,652.0
79,SE 50th at Hawthorne,,4.0,,0.0,8.0,0.0,0.0,652.0
80,NW Pettygrove at 15th,,4.0,,7.0,9.0,0.0,0.0,652.0
81,NE 30th at Glisan,,4.0,,2.0,1.0,0.0,0.0,652.0
82,SE 49th at Division,,4.0,,2.0,1.0,0.0,0.0,652.0
83,N Burrage at Killingsworth,,4.0,,2.0,1.0,0.0,0.0,652.0
84,NE 22nd at Thompson (Irvington Tennis Club),,4.0,,11.0,1.0,0.0,0.0,652.0
85,SE Belmont at 33rd,,4.0,,10.0,1.0,0.0,0.0,652.0
86,SE 9th at Belmont,,4.0,,5.0,12.0,0.0,0.0,652.0
87,N Mason at Williams,,4.0,,12.0,0.0,0.0,0.0,652.0
88,SE Hawthorne at 20th,,4.0,,8.0,5.0,0.0,0.0,652.0
89,NW Nicolai at Sherlock,,4.0,,1.0,1.0,0.0,0.0,652.0
90,NE 28th at Glisan,,4.0,,3.0,0.0,0.0,0.0,652.0
91,NE Alberta at 22nd,,4.0,,3.0,1.0,0.0,0.0,652.0
92,NE Alberta at 24th,,4.0,,5.0,0.0,0.0,0.0,652.0
93,NE 2nd at Schuyler,,4.0,,6.0,5.0,0.0,0.0,652.0
94,N Interstate at Willamette,,4.0,,8.0,0.0,0.0,0.0,652.0
95,SW Moody at Thomas,,4.0,,11.0,3.0,0.0,0.0,652.0
96,NE Multnomah at Grand,,4.0,,5.0,1.0,0.0,0.0,652.0
97,NE Multnomah at 9th,,4.0,,8.0,0.0,0.0,0.0,652.0
98,NE Going at Grand,,4.0,,17.0,1.0,0.0,0.0,652.0
99,NE Sandy at 16th,,4.0,,17.0,1.0,0.0,0.0,652.0
100,NE 22nd at Burnside,,4.0,,8.0,3.0,0.0,0.0,652.0
101,SE 2nd Pl at Tilikum Way,,4.0,,0.0,19.0,0.0,0.0,652.0
102,SE 29th at Hawthorne,,4.0,,13.0,5.0,0.0,0.0,652.0
103,NE Alberta at 14th,,4.0,,3.0,0.0,0.0,0.0,652.0
104,NE Alberta at 10th,,4.0,,5.0,0.0,0.0,0.0,652.0
105,NE Couch at MLK,,4.0,,2.0,3.0,0.0,0.0,652.0
106,NW Broadway at Everett,,4.0,,12.0,6.0,0.0,0.0,652.0
107,SE 34th at Division,,4.0,,12.0,5.0,0.0,0.0,652.0
108,SE 30th at Division,,4.0,,16.0,0.0,0.0,0.0,652.0
